name,model,acc0,acc1,acc
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.008089229135999737,0.0,0.007888912162639938
vwg-0709-0007,model3,0.0,0.0,0.0044874290514927365
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.007893070770500069,0.007893070770500069
vwg-0709-0007,model3,,0.008248945383746042,0.008248945383746042
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.007190874127016985,0.0,0.0024812247726483817
vwg-0709-0007,model3,0.0,,0.0
vwg-0709-0007,model1,0.05153873726253264,,0.05153873726253264
vwg-0709-0007,model2,0.034886688765928486,0.0,0.024479900236363757
vwg-0709-0007,model3,0.0,0.0,0.04713683583106267
vwg-0709-0007,model1,0.10365324470241466,0.0,0.14108375413546928
vwg-0709-0007,model2,0.14758172714594703,0.0,0.13740035579022952
vwg-0709-0007,model3,0.0,0.0,0.0
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,0.0,0.38258962764004156,0.38060414820252386
vwg-0709-0007,model3,,0.3384644637909652,0.3384644637909652
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,0.0,0.0904076268646393,0.0904076268646393
vwg-0709-0007,model3,,0.10066620802389646,0.10066620802389646
vwg-0709-0007,model1,0.0,0.0,0.06791756321929841
vwg-0709-0007,model2,0.0,0.11875293870778461,0.07322128113282139
vwg-0709-0007,model3,,0.05173233931403866,0.05173233931403866
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,0.0,0.0024503375588906698,0.0024503375588906698
vwg-0709-0007,model3,,0.0032411891212972468,0.0032411891212972468
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.031244065964563767,0.031244065964563767
vwg-0709-0007,model3,,0.024240981878761093,0.024240981878761093
vwg-0709-0007,model1,0.0,0.0,0.0
vwg-0709-0007,model2,0.0,0.45662854244792883,0.4562571367849257
vwg-0709-0007,model3,0.0,0.0,0.0
vwg-0709-0007,model1,0.0,0.0,0.0
vwg-0709-0007,model2,0.5035575656470885,0.0017882766218964674,0.4884591532593156
vwg-0709-0007,model3,0.0,0.0,0.0
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.18202070645138152,0.0,0.18194165515480074
vwg-0709-0007,model3,0.0,0.0,0.061229771411670256
vwg-0709-0007,model1,0.0,0.0,0.02604728906222795
vwg-0709-0007,model2,0.0,0.01667006265600326,0.015728635970393156
vwg-0709-0007,model3,,0.02645446507515473,0.02645446507515473
vwg-0709-0007,model1,0.0,0.0,0.0
vwg-0709-0007,model2,0.4454101897877732,0.023109526876244964,0.5479578629902063
vwg-0709-0007,model3,0.0,0.0,0.0
vwg-0709-0007,model1,0.0,0.0,0.0
vwg-0709-0007,model2,0.008336333927374989,0.007110134516058412,0.010071139018511704
vwg-0709-0007,model3,0.0,0.00737095501183899,0.010258089976322021
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.06287460469054763,0.0,0.06287460469054763
vwg-0709-0007,model3,0.0,0.0,0.15920259581902918
vwg-0709-0007,model1,0.0,0.0,0.45787973633352635
vwg-0709-0007,model2,0.0,0.4699775001356671,0.46021744835417644
vwg-0709-0007,model3,,0.0,0.0
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,0.0,0.042100533619537694,0.042100533619537694
vwg-0709-0007,model3,,0.042560959123463867,0.042560959123463867
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.1360494880196852,0.0,0.1345663848795192
vwg-0709-0007,model3,0.0,,0.0
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.034793494687929985,0.0,0.026875605584395598
vwg-0709-0007,model3,0.0,,0.0
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.0021705945865445474,0.0021705945865445474
vwg-0709-0007,model3,,0.0026327078958657906,0.0026327078958657906
vwg-0709-0007,model1,0.0,0.0,0.16350407042154708
vwg-0709-0007,model2,0.0,0.1813104708619347,0.17413360818110715
vwg-0709-0007,model3,,0.0,0.0
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.0,0.0,0.0039230416092817496
vwg-0709-0007,model3,0.0,0.0,0.003969065970293718
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,0.0,0.012065178347208844,0.012065178347208844
vwg-0709-0007,model3,,0.012455451782913175,0.012455451782913175
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.05200450321521934,0.05200450321521934
vwg-0709-0007,model3,,0.049582476758782544,0.049582476758782544
vwg-0709-0007,model1,0.1248633683165992,,0.1248633683165992
vwg-0709-0007,model2,0.11549575050972863,0.0,0.11549575050972863
vwg-0709-0007,model3,0.0,,0.0
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.03260728779898109,0.03260728779898109
vwg-0709-0007,model3,,0.024430407001604232,0.024430407001604232
vwg-0709-0007,model1,0.02794590021682539,,0.02794590021682539
vwg-0709-0007,model2,0.042603868708276635,0.0,0.017983820738310258
vwg-0709-0007,model3,0.0,0.0,0.03217000466494275
vwg-0709-0007,model1,0.0,0.0,0.0
vwg-0709-0007,model2,0.09990018207675065,0.0036226235615859216,0.06435668144221698
vwg-0709-0007,model3,0.0,0.004399259837634903,0.08948633034902792
vwg-0709-0007,model1,0.03148297847617786,0.0,0.03320343491564516
vwg-0709-0007,model2,0.029444234624211963,0.0,0.02744421515344006
vwg-0709-0007,model3,0.0,0.001932235640135495,0.03695710553258626
vwg-0709-0007,model1,0.05953658131947133,,0.05953658131947133
vwg-0709-0007,model2,0.06736659096882013,0.0,0.06562116411245592
vwg-0709-0007,model3,0.0,0.0,0.0596312489934207
vwg-0709-0007,model1,0.017246421465462767,0.0,0.02369375977773306
vwg-0709-0007,model2,0.023073343964622465,0.006140491553777845,0.016640095342314126
vwg-0709-0007,model3,0.0,0.0,0.0
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.15639347632426506,0.0,0.15639347632426506
vwg-0709-0007,model3,0.0,0.0,0.08587852746487051
vwg-0709-0007,model1,0.006006885566003803,0.0,0.006002813979521624
vwg-0709-0007,model2,0.00853012267980116,0.0,0.003731384969445096
vwg-0709-0007,model3,0.0,0.0,0.0034473022058753057
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,0.0,0.012513392958913062,0.012513392958913062
vwg-0709-0007,model3,,0.011459737819570456,0.011459737819570456
vwg-0709-0007,model1,0.0,0.0,0.09401526617095479
vwg-0709-0007,model2,0.0,0.035824881210586364,0.028936904215387107
vwg-0709-0007,model3,,0.03544992142916219,0.03544992142916219
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.008574904636888373,0.008574904636888373
vwg-0709-0007,model3,,0.008665572145926238,0.008665572145926238
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,0.0,0.07531420558047433,0.07530942926903171
vwg-0709-0007,model3,,0.054518157961113464,0.054518157961113464
vwg-0709-0007,model1,0.053884914847481695,0.0,0.05677246105053592
vwg-0709-0007,model2,0.06864921886773497,0.002856039073925881,0.07940275137009283
vwg-0709-0007,model3,0.0,0.001973938685621358,0.058102441900048984
vwg-0709-0007,model1,0.1465313224847946,0.0,0.14973502631953337
vwg-0709-0007,model2,0.16389275935257044,0.007110997983938938,0.0868751798906265
vwg-0709-0007,model3,0.0,0.006569881444139132,0.07955454238487525
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.033542733344827845,0.033542733344827845
vwg-0709-0007,model3,,0.037788002087650936,0.037788002087650936
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.0013948370986586718,0.0,0.0009911804874158528
vwg-0709-0007,model3,0.0,0.0,0.00052443600524436
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.24288989213720583,0.0,0.24267315312017243
vwg-0709-0007,model3,0.0,,0.0
vwg-0709-0007,model1,0.03282114066830424,,0.03282114066830424
vwg-0709-0007,model2,0.024419674635831726,0.0,0.011379593211110395
vwg-0709-0007,model3,0.0,0.0,0.021922076308906847
vwg-0709-0007,model1,0.053312672753161906,0.0,0.06809400771355928
vwg-0709-0007,model2,0.05517154346092733,0.008691788001510188,0.030976439586701834
vwg-0709-0007,model3,0.0,0.007281353135313531,0.026175742574257425
vwg-0709-0007,model1,0.0,0.0,0.11250341037533616
vwg-0709-0007,model2,0.0,0.5167113370183162,0.4721657592162849
vwg-0709-0007,model3,,0.0,0.0
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.0020984041084543595,0.0020984041084543595
vwg-0709-0007,model3,,0.0012826413820614317,0.0012826413820614317
vwg-0709-0007,model1,0.02816688707123149,,0.02816688707123149
vwg-0709-0007,model2,0.009919657585786959,0.0,0.009619684527197333
vwg-0709-0007,model3,0.0,0.0,0.007484745827046621
vwg-0709-0007,model1,0.026074507164809916,0.0,0.02770187928933359
vwg-0709-0007,model2,0.02934571549176868,0.0031500342617362884,0.030078486813240383
vwg-0709-0007,model3,0.0,0.001903658627034778,0.02284790283160935
vwg-0709-0007,model1,0.09434362258606835,0.0,0.09786458794116394
vwg-0709-0007,model2,0.12040318961069467,0.003390114447885997,0.05479550220402035
vwg-0709-0007,model3,0.0,0.0026126605755488566,0.0424605931794566
vwg-0709-0007,model1,0.0,0.0,0.0
vwg-0709-0007,model2,0.625478691814626,0.0,0.4228213934268314
vwg-0709-0007,model3,0.0,0.0,0.0
vwg-0709-0007,model1,0.06764723205345813,0.0,0.06612653152847456
vwg-0709-0007,model2,0.04438337890280473,0.0022589241028554423,0.014955824181030059
vwg-0709-0007,model3,0.0,0.0027979071378661595,0.018493441574607885
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.007760758278675412,0.007760758278675412
vwg-0709-0007,model3,,0.012737629969579172,0.012737629969579172
vwg-0709-0007,model1,0.0,,0.0
vwg-0709-0007,model2,0.21703644576673983,0.0,0.21459448691229033
vwg-0709-0007,model3,0.0,,0.0
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,0.0,0.4101911517842638,0.3962454618781268
vwg-0709-0007,model3,,0.0,0.0
vwg-0709-0007,model1,0.035565800932329285,0.0,0.04531785510161629
vwg-0709-0007,model2,0.07286427941732085,0.007020228029200616,0.019383265559926578
vwg-0709-0007,model3,0.0,0.007476703574798896,0.020643621588981573
vwg-0709-0007,model1,0.0,0.0,0.08359288972785905
vwg-0709-0007,model2,,0.03197168006626391,0.03197168006626391
